part_number,assembly_path,object_name,label,quantity,material_code,material_description,material_standard,estimated_mass_kg,volume_mm3,design_status
03-115,03_Estacoes/03_Estacoes,Bumper_Borracha_03,Bumper Borracha 03,1,RUBBER,Borracha reciclada,Borracha industrial; dureza e composto a confirmar,2.954723,2686111.534,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-001,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Mastro_Esq,Estacao Inferior mastro Esq,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",18.137262,2310479.25,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-002,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Placa_Base_Esq,Estacao Inferior Placa Base Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,16.33428,2080800.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-003,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Chumbador_Esq_MM,Estacao Inferior Chumbador Esq MM,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-004,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Chumbador_Esq_MP,Estacao Inferior Chumbador Esq MP,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-005,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Chumbador_Esq_PM,Estacao Inferior Chumbador Esq PM,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-006,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Chumbador_Esq_PP,Estacao Inferior Chumbador Esq PP,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-007,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Diagonal_Esq,Estacao Inferior Diagonal Esq,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",12.116007,1543440.369,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-008,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Placa_Diagonal_Esq,Estacao Inferior Placa Diagonal Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.84704,1254400.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-009,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Mastro_Dir,Estacao Inferior mastro Dir,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",18.137262,2310479.25,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-010,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Placa_Base_Dir,Estacao Inferior Placa Base Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,16.33428,2080800.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-011,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Chumbador_Dir_MM,Estacao Inferior Chumbador Dir MM,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-012,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Chumbador_Dir_MP,Estacao Inferior Chumbador Dir MP,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-013,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Chumbador_Dir_PM,Estacao Inferior Chumbador Dir PM,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-014,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Chumbador_Dir_PP,Estacao Inferior Chumbador Dir PP,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-015,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Diagonal_Dir,Estacao Inferior Diagonal Dir,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",12.116007,1543440.369,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-016,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Placa_Diagonal_Dir,Estacao Inferior Placa Diagonal Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.84704,1254400.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-017,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Travessa_Cabos,Estacao Inferior Travessa Cabos,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",23.632268,3010480.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-018,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Esq_Aro_Canaletado,Estacao Inferior Sela Esq Aro Canaletado,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,3.629702,462382.389,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-019,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Esq_Cubo,Estacao Inferior Sela Esq Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.212413,27059.025,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-020,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Esq_Rolamento_Esq,Estacao Inferior Sela Esq Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.014481,1844.671,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-021,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Esq_Rolamento_Dir,Estacao Inferior Sela Esq Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.014481,1844.671,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-022,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Esq_Eixo,Estacao Inferior Sela Esq Eixo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.191413,24383.786,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-023,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Esq_Arruela_Esq,Estacao Inferior Sela Esq Arruela Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.013932,1774.785,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-024,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Esq_Arruela_Dir,Estacao Inferior Sela Esq Arruela Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.013932,1774.785,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-025,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Esq_Porca_Esq,Estacao Inferior Sela Esq Porca Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.055318,7046.831,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-026,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Esq_Porca_Dir,Estacao Inferior Sela Esq Porca Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.055318,7046.831,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-027,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Suporte_Sela_Esq,Estacao Inferior Suporte Sela Esq,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,2.1195,270000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-028,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Dir_Aro_Canaletado,Estacao Inferior Sela Dir Aro Canaletado,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,3.629702,462382.389,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-029,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Dir_Cubo,Estacao Inferior Sela Dir Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.212413,27059.025,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-030,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Dir_Rolamento_Esq,Estacao Inferior Sela Dir Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.014481,1844.671,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-031,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Dir_Rolamento_Dir,Estacao Inferior Sela Dir Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.014481,1844.671,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-032,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Dir_Eixo,Estacao Inferior Sela Dir Eixo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.191413,24383.786,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-033,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Dir_Arruela_Esq,Estacao Inferior Sela Dir Arruela Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.013932,1774.785,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-034,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Dir_Arruela_Dir,Estacao Inferior Sela Dir Arruela Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.013932,1774.785,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-035,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Dir_Porca_Esq,Estacao Inferior Sela Dir Porca Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.055318,7046.831,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-036,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Sela_Dir_Porca_Dir,Estacao Inferior Sela Dir Porca Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.055318,7046.831,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-037,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Suporte_Sela_Dir,Estacao Inferior Suporte Sela Dir,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,2.1195,270000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-038,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Piso_Plataforma,Estacao Inferior Piso Plataforma,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",635.85,81000000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-039,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Pe_Plataforma_MM,Estacao Inferior Pe Plataforma MM,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",5.893152,750720.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-040,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Pe_Plataforma_MP,Estacao Inferior Pe Plataforma MP,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",5.893152,750720.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-041,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Pe_Plataforma_PM,Estacao Inferior Pe Plataforma PM,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",5.893152,750720.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-042,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Pe_Plataforma_PP,Estacao Inferior Pe Plataforma PP,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",5.893152,750720.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-043,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Guarda_Corpo_01,Estacao Inferior Guarda Corpo 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.61625,1225000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-044,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Guarda_Corpo_02,Estacao Inferior Guarda Corpo 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.61625,1225000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-045,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Guarda_Corpo_03,Estacao Inferior Guarda Corpo 03,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,18.496127,2356194.49,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-046,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Guarda_Corpo_04,Estacao Inferior Guarda Corpo 04,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.588392,1221451.224,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-047,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Guarda_Corpo_05,Estacao Inferior Guarda Corpo 05,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.61625,1225000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-048,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Guarda_Corpo_06,Estacao Inferior Guarda Corpo 06,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.61625,1225000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-049,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Guarda_Corpo_07,Estacao Inferior Guarda Corpo 07,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,13.872095,1767145.868,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-050,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Tirante_Terminal_Esq,Estacao Inferior Tirante Terminal Esq,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.707929,217570.586,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-051,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Olhal_Terminal_Esq,Estacao Inferior Olhal Terminal Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.543786,69272.118,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-052,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Chapa_Terminal_Esq,Estacao Inferior Chapa Terminal Esq,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,3.768,480000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-053,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Tirante_Terminal_Dir,Estacao Inferior Tirante Terminal Dir,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.707929,217570.586,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-054,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Olhal_Terminal_Dir,Estacao Inferior Olhal Terminal Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.543786,69272.118,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-055,03_Estacoes/Estacao_Inferior_Montagem,Estacao_Inferior_Chapa_Terminal_Dir,Estacao Inferior Chapa Terminal Dir,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,3.768,480000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-056,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Mastro_Esq,Estacao Superior mastro Esq,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",18.137262,2310479.25,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-057,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Placa_Base_Esq,Estacao Superior Placa Base Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,16.33428,2080800.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-058,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Chumbador_Esq_MM,Estacao Superior Chumbador Esq MM,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-059,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Chumbador_Esq_MP,Estacao Superior Chumbador Esq MP,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-060,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Chumbador_Esq_PM,Estacao Superior Chumbador Esq PM,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-061,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Chumbador_Esq_PP,Estacao Superior Chumbador Esq PP,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-062,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Diagonal_Esq,Estacao Superior Diagonal Esq,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",12.116007,1543440.369,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-063,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Placa_Diagonal_Esq,Estacao Superior Placa Diagonal Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.84704,1254400.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-064,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Mastro_Dir,Estacao Superior mastro Dir,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",18.137262,2310479.25,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-065,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Placa_Base_Dir,Estacao Superior Placa Base Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,16.33428,2080800.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-066,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Chumbador_Dir_MM,Estacao Superior Chumbador Dir MM,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-067,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Chumbador_Dir_MP,Estacao Superior Chumbador Dir MP,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-068,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Chumbador_Dir_PM,Estacao Superior Chumbador Dir PM,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-069,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Chumbador_Dir_PP,Estacao Superior Chumbador Dir PP,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.244543,31152.033,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-070,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Diagonal_Dir,Estacao Superior Diagonal Dir,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",12.116007,1543440.369,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-071,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Placa_Diagonal_Dir,Estacao Superior Placa Diagonal Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.84704,1254400.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-072,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Travessa_Cabos,Estacao Superior Travessa Cabos,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",23.632268,3010480.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-073,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Esq_Aro_Canaletado,Estacao Superior Sela Esq Aro Canaletado,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,3.629702,462382.389,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-074,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Esq_Cubo,Estacao Superior Sela Esq Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.212413,27059.025,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-075,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Esq_Rolamento_Esq,Estacao Superior Sela Esq Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.014481,1844.671,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-076,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Esq_Rolamento_Dir,Estacao Superior Sela Esq Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.014481,1844.671,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-077,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Esq_Eixo,Estacao Superior Sela Esq Eixo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.191413,24383.786,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-078,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Esq_Arruela_Esq,Estacao Superior Sela Esq Arruela Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.013932,1774.785,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-079,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Esq_Arruela_Dir,Estacao Superior Sela Esq Arruela Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.013932,1774.785,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-080,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Esq_Porca_Esq,Estacao Superior Sela Esq Porca Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.055318,7046.831,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
